model,y_true,y_pred
full,0,1
full,0,1
full,0,2
full,0,2
full,0,1
full,0,2
full,0,1
full,0,0
full,0,1
full,0,1
full,0,2
full,0,2
full,0,0
full,0,2
full,0,0
full,0,1
full,0,2
full,0,1
full,0,1
full,0,0
full,0,0
full,0,0
full,0,0
full,0,2
full,0,1
full,0,2
full,0,1
full,0,2
full,0,0
full,0,0
full,0,0
full,0,2
full,0,1
full,0,1
full,0,0
full,0,1
full,0,0
full,0,1
full,0,2
full,0,1
full,0,2
full,0,1
full,0,1
full,0,2
full,0,1
full,0,0
full,0,2
full,0,2
full,0,2
full,0,1
full,0,1
full,0,1
full,0,1
full,0,1
full,0,0
full,0,2
full,0,1
full,0,2
full,0,1
full,0,1
full,0,0
full,0,0
full,0,1
full,0,1
full,0,1
full,0,0
full,0,0
full,0,2
full,0,1
full,0,2
full,0,2
full,0,0
full,0,2
full,0,0
full,0,0
full,0,0
full,0,0
full,0,0
full,0,0
full,0,0
full,0,1
full,0,2
full,0,0
full,0,0
full,0,1
full,0,1
full,0,1
full,0,1
full,0,0
full,0,0
full,0,2
full,0,1
full,0,2
full,0,2
full,0,0
full,0,2
full,0,2
full,0,1
full,0,1
full,0,0
full,0,2
full,0,2
full,0,2
full,0,2
full,0,0
full,0,0
full,0,0
full,0,0
full,0,0
full,0,2
full,0,0
full,0,0
full,0,1
full,0,1
full,0,0
full,0,0
full,0,1
full,0,0
full,0,0
full,0,2
full,0,2
full,0,1
full,0,2
full,0,2
full,0,0
full,0,0
full,0,0
full,0,0
full,0,0
full,0,1
full,0,0
full,0,1
full,0,2
full,0,1
full,0,0
full,0,0
full,0,0
full,0,0
full,0,2
full,0,1
full,0,1
full,0,0
full,0,1
full,0,2
full,0,0
full,0,2
full,0,1
full,0,1
full,0,0
full,0,1
full,0,2
full,0,1
full,0,0
full,0,0
full,0,0
full,0,0
full,0,0
full,0,2
full,0,1
full,0,2
full,0,0
full,0,0
full,0,1
full,0,2
full,0,2
full,0,0
full,0,0
full,0,2
full,0,0
full,0,0
full,0,1
full,0,0
full,0,0
full,0,1
full,0,1
full,0,1
full,0,0
full,0,2
full,0,0
full,0,0
full,0,1
full,0,2
full,0,2
full,0,2
full,0,2
full,0,0
full,0,2
full,0,2
full,0,0
full,0,1
full,0,0
full,0,1
full,0,0
full,0,1
full,0,1
full,0,2
full,0,1
full,0,2
full,0,2
full,0,1
full,0,1
full,0,0
full,0,2
full,0,0
full,0,1
full,0,2
full,0,1
full,0,1
full,0,2
full,0,0
full,0,1
full,0,2
full,0,0
full,0,0
full,0,0
full,0,2
full,0,2
full,0,0
full,0,0
full,0,2
full,0,2
full,0,1
full,0,2
full,0,2
full,0,0
full,0,2
full,0,1
full,0,2
full,0,1
full,0,0
full,0,1
full,0,0
full,0,0
full,0,2
full,0,0
full,0,1
full,0,1
full,0,0
full,0,1
full,0,2
full,0,1
full,0,1
full,0,0
full,0,1
full,0,2
full,0,0
full,0,0
full,0,0
full,0,1
full,0,2
full,0,0
full,0,2
full,0,0
full,0,0
full,0,2
full,0,2
full,0,1
full,0,0
full,0,1
full,0,1
full,0,0
full,0,1
full,0,1
full,0,0
full,0,0
full,0,0
full,0,2
full,0,2
full,0,1
full,0,0
full,0,1
full,0,0
full,0,1
full,0,2
full,0,2
full,0,1
full,0,1
full,0,1
full,0,1
full,0,1
full,0,0
full,0,1
